method,rank,num_lora_modules,mean_rank_90,mean_rank_95,mean_rank_99,min_rank_90,max_rank_90,min_rank_95,max_rank_95,min_rank_99,max_rank_99,mean_entropy_effective_rank,mean_normalized_entropy_effective_rank,mean_stable_rank,mean_numerical_rank,q_proj_mean_rank_90,q_proj_mean_rank_95,q_proj_mean_rank_99,q_proj_mean_entropy_effective_rank,q_proj_mean_normalized_entropy_effective_rank,q_proj_mean_stable_rank,k_proj_mean_rank_90,k_proj_mean_rank_95,k_proj_mean_rank_99,k_proj_mean_entropy_effective_rank,k_proj_mean_normalized_entropy_effective_rank,k_proj_mean_stable_rank,v_proj_mean_rank_90,v_proj_mean_rank_95,v_proj_mean_rank_99,v_proj_mean_entropy_effective_rank,v_proj_mean_normalized_entropy_effective_rank,v_proj_mean_stable_rank,o_proj_mean_rank_90,o_proj_mean_rank_95,o_proj_mean_rank_99,o_proj_mean_entropy_effective_rank,o_proj_mean_normalized_entropy_effective_rank,o_proj_mean_stable_rank
lora,2,112,1.4107142857142858,1.7053571428571428,2.0,1,2,1,2,2,2,1.3991373170699393,0.6995686585349696,1.161522503410067,2.0,1.4285714285714286,1.75,2.0,1.4182315085615431,0.7091157542807716,1.1711059170109885,1.6071428571428572,1.9642857142857142,2.0,1.5780827786241258,0.7890413893120629,1.2748626257692064,1.25,1.4642857142857142,2.0,1.2713285642010825,0.6356642821005413,1.0994027767862593,1.3571428571428572,1.6428571428571428,2.0,1.3289064168930054,0.6644532084465027,1.1007186940738134
lora,4,112,2.0357142857142856,2.5267857142857144,3.6517857142857144,1,4,1,4,2,4,1.9315867902977126,0.48289669757442816,1.3070674783417158,4.0,2.1785714285714284,2.8214285714285716,3.892857142857143,2.0424763602869853,0.5106190900717463,1.3302256890705653,2.5357142857142856,3.0,3.9642857142857144,2.3530371401991164,0.5882592850497791,1.489271151168006,1.6071428571428572,1.8214285714285714,3.142857142857143,1.510964491537639,0.37774112288440975,1.1283006370067596,1.8214285714285714,2.4642857142857144,3.607142857142857,1.8198691691671098,0.45496729229177746,1.2804724361215318
lora,8,112,2.794642857142857,3.9732142857142856,6.669642857142857,1,6,1,7,4,8,2.6048402722392763,0.32560503402990953,1.4102962634393148,8.0,3.0714285714285716,4.5,7.142857142857143,2.6456960013934543,0.3307120001741818,1.3787397188799722,3.5714285714285716,4.964285714285714,7.285714285714286,3.1941652979169572,0.39927066223961966,1.5601208891187395,2.0714285714285716,2.9285714285714284,5.714285714285714,2.136959957224982,0.26711999465312275,1.2903408535889216,2.4642857142857144,3.5,6.535714285714286,2.4425398324217116,0.30531747905271395,1.4119835921696253
lora,16,112,4.598214285714286,7.142857142857143,12.8125,1,10,2,13,8,16,3.802215617682253,0.2376384761051408,1.627923167177609,16.0,5.464285714285714,8.464285714285714,13.571428571428571,4.035213436399188,0.2522008397749492,1.5739944619791848,5.785714285714286,8.607142857142858,13.821428571428571,4.417821884155273,0.2761138677597046,1.695165399994169,3.1785714285714284,4.928571428571429,11.071428571428571,3.1909868930067335,0.19943668081292085,1.59161034652165,3.9642857142857144,6.571428571428571,12.785714285714286,3.564840257167816,0.2228025160729885,1.6509224602154322
lora,32,112,8.517857142857142,14.125,25.223214285714285,1,20,3,25,13,30,6.130539804697037,0.1915793688967824,1.9450202648128783,32.0,10.678571428571429,16.5,26.607142857142858,6.721318108694894,0.21004119089671544,1.877107526574816,10.357142857142858,16.214285714285715,26.535714285714285,7.083019026688167,0.22134434458400523,2.0364521018096378,5.071428571428571,9.678571428571429,21.892857142857142,4.58162340096065,0.1431757312800203,1.8238988050392695,7.964285714285714,14.107142857142858,25.857142857142858,6.136198682444436,0.19175620882638864,2.0426226258277893
lora,64,112,13.732142857142858,24.205357142857142,47.035714285714285,3,34,6,45,31,59,8.26594969204494,0.12915546393820218,2.080277795238154,64.0,17.178571428571427,28.142857142857142,49.607142857142854,8.72562302861895,0.1363378598221711,1.891616906438555,16.142857142857142,27.035714285714285,49.0,9.499943341527667,0.1484366147113698,2.1236865861075267,7.857142857142857,16.321428571428573,40.57142857142857,6.150646678039005,0.09610385434435946,2.046672578368868,13.75,25.321428571428573,48.964285714285715,8.687585719994136,0.13574352687490837,2.2591351100376675
qlora,2,112,1.4017857142857142,1.6428571428571428,1.9732142857142858,1,2,1,2,1,2,1.4003542778747422,0.7001771389373711,1.1625967313136374,2.0,1.4285714285714286,1.7142857142857142,2.0,1.4075876346656255,0.7037938173328128,1.164107356752668,1.6071428571428572,1.8928571428571428,2.0,1.5661787944180625,0.7830893972090313,1.2778954761368888,1.1785714285714286,1.3928571428571428,1.8928571428571428,1.238775257553373,0.6193876287766865,1.0699354239872523,1.3928571428571428,1.5714285714285714,2.0,1.388875424861908,0.694437712430954,1.13844866837774
qlora,4,112,1.9196428571428572,2.4017857142857144,3.6160714285714284,1,3,1,4,2,4,1.8665252093757903,0.46663130234394756,1.2788862128342902,4.0,2.0357142857142856,2.5714285714285716,3.8214285714285716,1.8955205125468118,0.47388012813670294,1.2668766507080622,2.4285714285714284,3.0714285714285716,3.9642857142857144,2.324955948761531,0.5812389871903828,1.4818116809640611,1.4642857142857142,1.8571428571428572,3.0714285714285716,1.502532184123993,0.37563304603099823,1.1253261438437872,1.75,2.107142857142857,3.607142857142857,1.7430921920708247,0.43577304801770617,1.24153037582125
qlora,8,112,2.8482142857142856,3.955357142857143,6.625,1,6,1,7,4,8,2.577377931347915,0.3221722414184894,1.4069151292954172,8.0,3.107142857142857,4.214285714285714,6.964285714285714,2.6079816349915097,0.3259977043739387,1.3904663494655065,3.642857142857143,5.0,7.214285714285714,3.186194666794368,0.398274333349296,1.564664568219866,2.1785714285714284,3.107142857142857,5.75,2.1199729101998463,0.2649966137749808,1.2828490776675088,2.4642857142857144,3.5,6.571428571428571,2.395362513405936,0.299420314175742,1.3896805218287878
qlora,16,112,4.366071428571429,6.946428571428571,12.732142857142858,1,10,2,13,8,16,3.697303928434849,0.23108149552717805,1.5923918698515211,16.0,5.178571428571429,8.142857142857142,13.357142857142858,3.8041270119803294,0.2377579382487706,1.5255804445062364,5.571428571428571,8.428571428571429,13.642857142857142,4.454392279897418,0.2783995174935886,1.7367109273161208,3.0714285714285716,4.892857142857143,11.178571428571429,3.0558703116008212,0.19099189447505133,1.4949080348014832,3.642857142857143,6.321428571428571,12.75,3.4748261102608273,0.2171766318913017,1.612368072782244
qlora,32,112,8.125,13.633928571428571,24.928571428571427,2,20,3,25,13,31,5.797246424215181,0.1811639507567244,1.873587382691247,32.0,10.0,16.0,26.178571428571427,6.143182992935181,0.1919744685292244,1.7652731069496699,10.035714285714286,15.714285714285714,26.25,6.833899004118783,0.21355934387871198,2.0067380326134816,4.678571428571429,9.071428571428571,21.5,4.319207012653351,0.1349752191454172,1.7421637730939048,7.785714285714286,13.75,25.785714285714285,5.892696687153408,0.184146771473544,1.980174618107932
