method,rank,accuracy,generation_success_rate,execution_success_rate,correct,num_eval_samples,train_loss,train_runtime,eval_runtime,avg_generation_time_per_sample,train_peak_gpu_memory_gb,eval_peak_gpu_memory_gb,trainable_params,total_params,trainable_ratio
base,,0.14,1.0,0.18,7,50,,,1736.924742937088,34.73849485874176,,3.7514209747314453,0,,0
quant,,0.0,1.0,0.02,0,50,,,3227.8959169387817,64.55791833877564,,1.8043279647827148,0,,0
lora,2,0.18,1.0,0.34,9,50,0.3904534249305725,1703.4562,2122.9042706489563,42.45808541297912,12.401588439941406,3.760936737060547,802816,1721377792,0.00046637989855047464
lora,4,0.16,1.0,0.28,8,50,0.37658981895446775,1699.1536,2164.286828994751,43.28573657989502,12.415878295898438,3.763927459716797,1605632,1722180608,0.0009323249794716072
lora,8,0.16,1.0,0.34,8,50,0.33424187660217286,1738.1292,2364.5064432621,47.290128865242,12.4444580078125,3.7633838653564453,3211264,1723786240,0.001862913118508244
lora,16,0.22,1.0,0.4,11,50,0.30940607976913453,1761.5675,2504.5388247966766,50.09077649593353,12.501617431640625,3.781871795654297,6422528,1726997504,0.0037188982526751816
lora,32,0.34,1.0,0.56,17,50,0.288500186920166,1723.28,2306.969789505005,46.139395790100096,12.615936279296875,3.7952651977539062,12845056,1733420032,0.007410238582035725
lora,64,0.45,1.0,0.61,45,100,0.263633544921875,3457.2781,5127.265695095062,51.27265695095062,12.844573974609375,3.8810977935791016,25690112,1746265088,0.014711461722814904
qlora,2,0.08,1.0,0.18,4,50,0.4009156966209412,2826.2047,4254.85414981842,85.09708299636841,6.38192081451416,1.8135137557983398,802816,1016734720,0.0007896022278062856
qlora,4,0.16,1.0,0.3,8,50,0.36871293687820433,2847.6305,4568.307571172714,91.36615142345428,6.39388370513916,1.8165044784545898,1605632,1017537536,0.0015779584960686896
qlora,8,0.2,1.0,0.44,10,50,0.34269209098815917,2835.7604,4220.661006689072,84.41322013378144,6.41780948638916,1.8162870407104492,3211264,1019143168,0.0031509449318115825
qlora,16,0.26,1.0,0.4,13,50,0.3190972580909729,2857.4933,4507.1011481285095,90.1420229625702,6.46566104888916,1.8282499313354492,6422528,1022354432,0.006282095327190796
qlora,32,0.24,1.0,0.4,12,50,0.2967489552497864,2837.5582,4282.26823592186,85.6453647184372,6.56136417388916,1.8483686447143555,12845056,1028776960,0.012485753957786923
qlora,64,0.4,1.0,0.56,20,50,0.2757315697669983,2864.5931,4319.292446374893,86.38584892749786,6.75277042388916,1.9000272750854492,25690112,1041622016,0.024663564714822617
