method,rank,accuracy,generation_success_rate,execution_success_rate,correct,num_eval_samples,train_loss,train_runtime,eval_runtime,avg_generation_time_per_sample,train_peak_gpu_memory_gb,eval_peak_gpu_memory_gb,trainable_params,total_params,trainable_ratio
base,,0.31,1.0,0.42,31,100,,,3666.1094558238983,36.661094558238986,,8.240610122680664,0,,0
quant,,0.21,1.0,0.4,21,100,,,7185.940407991409,71.8594040799141,,3.2348432540893555,0,,0
lora,2,0.48,1.0,0.74,48,100,0.3048011734485626,6786.2303,6197.792053461075,61.977920534610746,22.569483757019043,8.246103286743164,1474560,4023942656,0.0003664465739344771
lora,4,0.51,1.0,0.67,51,100,0.30657646036148073,6806.0063,6299.515740871429,62.99515740871429,22.5952730178833,8.251596450805664,2949120,4025417216,0.0007326246800649645
lora,8,0.48,1.0,0.61,48,100,0.40840112352371216,6805.9913,4983.485681295395,49.83485681295395,22.646851539611816,8.262582778930664,5898240,4028366336,0.0014641766681668547
lora,16,0.51,1.0,0.64,51,100,0.3993131206035614,6788.9395,5018.390018939972,50.18390018939972,22.750008583068848,8.284555435180664,11796480,4034264576,0.0029240719783669438
lora,32,,,,,,,,,,,,,,
lora,64,,,,,,,,,,,,,,
qlora,2,0.41,1.0,0.64,41,100,0.31374537539482117,11565.4471,10283.887179851532,102.83887179851531,8.179221153259277,3.2403364181518555,1474560,2207284736,0.0006680424939974758
qlora,4,0.37,1.0,0.66,37,100,0.3151741349697113,11403.0397,9724.039052724838,97.24039052724838,8.201193809509277,3.2458295822143555,2949120,2208759296,0.0013351930223183541
qlora,8,0.38,1.0,0.59,38,100,0.33547837710380557,11525.5091,9804.818048477173,98.04818048477173,8.245139122009277,3.2568159103393555,5898240,2211708416,0.0026668253180802655
qlora,16,0.4,1.0,0.57,40,100,0.3632340726852417,11635.9763,9842.509691953659,98.42509691953659,8.333029747009277,3.2787885665893555,11796480,2217606656,0.005319464553410864
qlora,32,0.4,1.0,0.53,40,100,0.3286132695674896,11548.5164,9714.082872867584,97.14082872867584,8.508810997009277,3.3227338790893555,23592960,2229403136,0.010582635154237085
qlora,64,0.43,1.0,0.62,43,100,0.33312073612213133,11628.4451,9503.361004590988,95.03361004590988,8.860373497009277,3.4106245040893555,47185920,2252996096,0.02094363149753101
