method,rank,accuracy,correct,num_eval_samples,train_loss,train_runtime,eval_runtime,avg_generation_time_per_sample,train_peak_gpu_memory_gb,eval_peak_gpu_memory_gb,trainable_params,total_params,trainable_ratio
base,,0.08,8,100,,,333.2234766483307,3.3322347664833067,,3.243833065032959,0,,0
lora,4,0.24,24,100,0.7196451406478882,558.1471,515.3606214523315,5.1536062145233155,5.704627513885498,3.249814510345459,1605632,1722180608,0.0009323249794716072
lora,8,0.23,23,100,0.6947380409240723,545.2576,488.7946810722351,4.887946810722351,5.731978893280029,3.255795955657959,3211264,1723786240,0.001862913118508244
lora,16,0.21,21,100,0.6712423095703125,545.4671,496.21612000465393,4.962161200046539,5.786628246307373,3.267758846282959,6422528,1726997504,0.0037188982526751816
lora,32,0.26,26,100,0.6453916330337525,566.6854,483.65697479248047,4.836569747924805,5.8959269523620605,3.291684627532959,12845056,1733420032,0.007410238582035725
lora,64,0.29,29,100,0.6166989192962646,544.7603,486.4204955101013,4.864204955101013,6.1145243644714355,3.339536190032959,25690112,1746265088,0.014711461722814904
qlora,4,0.22,22,100,0.7832109184265137,1405.778,822.8495590686798,8.228495590686798,3.5066404342651367,1.3390283584594727,1605632,1017537536,0.0015779584960686896
qlora,8,0.22,22,100,0.7563479661941528,1394.3866,815.1780359745026,8.151780359745025,3.5305662155151367,1.3450098037719727,3211264,1019143168,0.0031509449318115825
qlora,16,0.23,23,100,0.7324277439117431,1415.5663,857.2256207466125,8.572256207466125,3.5784177780151367,1.3569726943969727,6422528,1022354432,0.006282095327190796
qlora,32,0.17,17,100,0.7074792537689208,1431.1864,835.1092748641968,8.351092748641967,3.6741209030151367,1.3808984756469727,12845056,1028776960,0.012485753957786923
qlora,64,0.24,24,100,0.6781887722015381,1410.9844,837.1039807796478,8.371039807796478,3.8655271530151367,1.4287500381469727,25690112,1041622016,0.024663564714822617
