method,rank,accuracy,correct,num_eval_samples,train_loss,train_runtime,eval_runtime,avg_generation_time_per_sample,train_peak_gpu_memory_gb,eval_peak_gpu_memory_gb,trainable_params,total_params,trainable_ratio
base,,0.0725,29,400,,,1736.379646062851,4.340949115157128,,7.542542934417725,0,,0
lora,4,0.2525,101,400,0.5472819404602051,1394.0353,2518.7645769119263,6.296911442279816,11.600831985473633,7.553529262542725,2949120,4025417216,0.0007326246800649645
lora,8,0.25,100,400,0.5274809608459473,1432.1462,2515.6420142650604,6.289105035662651,11.65083122253418,7.564515590667725,5898240,4028366336,0.0014641766681668547
lora,16,0.2575,103,400,0.506680805683136,1412.9055,2610.3407230377197,6.525851807594299,11.750761032104492,7.586488246917725,11796480,4034264576,0.0029240719783669438
lora,32,0.215,86,400,0.4808331356048584,1412.1574,2563.16765666008,6.4079191416502,11.950620651245117,7.630433559417725,23592960,4046061056,0.005831093419861631
lora,64,0.2475,99,400,0.4574854032993317,1443.9172,2506.7900307178497,6.266975076794624,12.350339889526367,7.718324184417725,47185920,4069654016,0.01159457777356177
qlora,4,0.2425,97,400,0.6108323616981506,3775.2402,4111.838227510452,10.27959556877613,5.115962028503418,2.627018928527832,2949120,2208759296,0.0013351930223183541
qlora,8,0.21,84,400,0.5906058945655823,3797.8755,4177.480389595032,10.44370097398758,5.159907341003418,2.638005256652832,5898240,2211708416,0.0026668253180802655
qlora,16,0.2275,91,400,0.570355562210083,3687.1017,4216.827157735825,10.542067894339562,5.247797966003418,2.659977912902832,11796480,2217606656,0.005319464553410864
qlora,32,0.26,104,400,0.5435127329826355,3690.2113,4268.191026926041,10.670477567315102,5.423579216003418,2.703923225402832,23592960,2229403136,0.010582635154237085
qlora,64,0.2625,105,400,0.5164129951000214,3596.273,4211.297543287277,10.528243858218193,5.775141716003418,2.791813850402832,47185920,2252996096,0.02094363149753101
